
      Name  | Count | ReactCount 
    --------+-------+------------
     22.0	|   4   |	4
     46.0	|   2   |	6
     47.0	|   1   |	7
     51.0	|   3   |	10
     71.0	|   1   |	11
     77.0	|   1   |	12
     79.0	|   2   |	14
     80.0	|   1   |	15
     91.0	|   1   |	16
     97.0	|   1   |	17
     99.0	|   1   |	18
     100.0	|   1   |	19
     103.0	|   1   |	20
     119.0	|   2   |	22
     146.0	|   1   |	23
     147.0	|   1   |	24
     154.0	|   1   |	25
     162.0	|   2   |	27
     168.0	|   1   |	28
     193.0	|   1   |	29
     198.0	|   1   |	30
     225.0	|   1   |	31
     250.0	|   1   |	32
     251.0	|   1   |	33
     255.0	|   1   |	34
     269.0	|   1   |	35
     288.0	|   1   |	36
     317.0	|   1   |	37
     354.0	|   1   |	38
     355.0	|   1   |	39
     359.0	|   1   |	40
     361.0	|   1   |	41
     362.0	|   1   |	42
     382.0	|   1   |	43
     384.0	|   1   |	44
     414.0	|   1   |	45
     429.0	|   1   |	46
     447.0	|   1   |	47
     450.0	|   1   |	48
     498.0	|   1   |	49
     503.0	|   1   |	50
     529.0	|   1   |	51
     535.0	|   1   |	52
     548.0	|   1   |	53
     553.0	|   1   |	54
     566.0	|   1   |	55
     569.0	|   1   |	56
     571.0	|   1   |	57
     587.0	|   1   |	58
     589.0	|   1   |	59
     607.0	|   2   |	61
     612.0	|   2   |	63
     613.0	|   1   |	64
     615.0	|   1   |	65
     636.0	|   1   |	66
     642.0	|   1   |	67
     657.0	|   1   |	68
     660.0	|   1   |	69
     676.0	|   1   |	70
     685.0	|   1   |	71
     687.0	|   1   |	72
     688.0	|   1   |	73
     694.0	|   1   |	74
     702.0	|   1   |	75
     707.0	|   1   |	76
     736.0	|   1   |	77
     738.0	|   1   |	78
     763.0	|   1   |	79
     768.0	|   1   |	80
     775.0	|   1   |	81
     777.0	|   1   |	82
     782.0	|   1   |	83
     784.0	|   1   |	84
     813.0	|   1   |	85
     817.0	|   1   |	86
     820.0	|   1   |	87
     821.0	|   1   |	88
     824.0	|   1   |	89
     832.0	|   1   |	90
     834.0	|   1   |	91
     858.0	|   1   |	92
     878.0	|   1   |	93
     879.0	|   1   |	94
     880.0	|   1   |	95
     923.0	|   1   |	96
     928.0	|   1   |	97
     945.0	|   1   |	98
     976.0	|   1   |	99
     984.0	|   1   |	100
     999.0	|   1   |	101
moda : Film: 22.0 Freq: 4
mediana: 529.0
Dispersion = 90379.6701
Standard deviation = 300.6321
